anahtar,konusmaci,sapma,f0,tini,seviye,z_f0,z_tini,z_seviye
D12_F_POWERBANK_2,SPK_FATIH,10.1,111.1,2011.7,-22.9,0.2,12.6,0.9
D13_W4_1,SPK_HIKMET,7.0,181.8,1418.3,-29.2,7.0,4.4,6.1
D2_T_FALL,SPK_TOLGA,6.6,307.7,1506.9,-16.2,6.6,1.2,3.6
D10G_T_MISSED,SPK_TOLGA,6.5,304.8,2047.5,-16.5,6.5,5.1,3.4
REACT_THEODOROS_POWERBANK,SPK_THEODOROS,5.9,146.8,1606.8,-24.6,5.9,0.3,0.5
D_AYA_CLERK,SPK_CLERK,5.9,246.2,2531.5,-15.7,5.9,1.5,2.7
REACT_CALLIGRAPHER_CHICKPEAS,SPK_CALLIGRAPHER,5.7,148.1,1372.2,-20.1,5.7,1.3,0.7
D10H_TH_FRANK,SPK_THEODOROS,5.6,144.1,1921.7,-28.3,5.6,0.8,2.2
D2_T_STUMBLE_1,SPK_TOLGA,5.4,278.3,1878.0,-17.5,5.4,3.9,2.7
D3_N_LIE_KIND_SLIP,SPK_NIHAT,4.7,363.6,991.0,-21.6,4.7,3.3,0.3
D4B_T_HIT_2,SPK_TOLGA,4.7,260.2,1949.5,-19.8,4.7,4.4,1.1
D10A_TH_DONE_CLEAN,SPK_THEODOROS,4.6,136.5,1857.5,-24.5,4.6,0.6,0.4
D4B_T_HIT_3,SPK_TOLGA,4.6,258.1,1692.9,-14.7,4.6,2.6,4.5
D9_T_H2_3,SPK_TOLGA,4.5,256.0,1983.3,-18.6,4.5,4.7,1.9
D11_N_T_SILENT,SPK_NIHAT,4.5,355.6,1391.2,-25.7,4.5,2.1,2.4
D7_N_FOUND,SPK_NIHAT,4.5,355.6,1195.3,-21.9,4.5,0.5,0.2
REACT_EMPEROR_TAPE,SPK_EMPEROR,4.5,131.7,1123.6,-18.8,4.5,0.1,1.4
D1_T_24,SPK_TOLGA,4.4,254.0,1772.9,-18.8,4.4,3.1,1.8
D1_T_28,SPK_TOLGA,4.4,254.0,1869.0,-15.9,4.4,3.8,3.7
D4B_T_HIT_1,SPK_TOLGA,4.4,254.0,1896.9,-14.7,4.4,4.0,4.5
D6_T_ANSWER,SPK_TOLGA,4.4,254.0,1556.6,-17.5,4.4,1.6,2.6
D7_T_FAR_A,SPK_TOLGA,4.4,252.0,1971.3,-16.8,4.4,4.6,3.1
D2_T_18,SPK_TOLGA,4.3,238.8,2086.7,-18.8,3.8,5.4,1.8
D4A_HU_ARGUE_2,SPK_HUSEYIN,4.3,104.8,1968.8,-23.5,4.3,3.0,0.8
D12_T_POWERBANK,SPK_TOLGA,4.3,144.1,2085.1,-19.6,0.0,5.4,1.3
D2_T_08,SPK_TOLGA,4.3,250.0,1763.4,-18.1,4.3,3.1,2.3
D4A_ITEM_SELFIE_2,SPK_HUSEYIN,4.2,110.0,1113.1,-21.0,4.2,2.1,0.8
REACT_CLERK_CUBE,SPK_CLERK,4.2,220.7,2204.5,-22.0,4.2,0.3,0.6
