anahtar,bolum,konusmaci,ton,ton_elle,tr,en,kaynak
D_AYA_CLERK,,SPK_CLERK,[shouting],0,"[Yunanca] İn oradan! Orası çatı, seyir terası değil! Tamirci misin? Form getir!","[Greek] Get down from there! That's a roof, not a viewing deck! Are you a repairman? Bring a form!",kod
D_AYA_TOP,,SPK_TOLGA,,0,"Ayasofya'nın çatısı! Surlar, Haliç, karşıda Fatih'in otağı... Buradan her şey küçücük. Ben dahil.","The roof of Hagia Sophia! The walls, the Golden Horn, the Sultan's tent across the way... Everything's tiny from here. Me included.",kod
D_CAT_FOUND,,SPK_TOLGA,,0,Turuncu bir kedi! Gato sen misin? ...Peşime takıldı. Sanırım evet.,An orange cat! Are you Gato? ...He's following me. I guess so.,kod
D_CHICKEN_CATCH_1,,SPK_TOLGA,,0,Yakaladım! ...Kaçtı. Ama yakaladım.,Got it! ...It escaped. But I got it.,görev
D_CHICKEN_CATCH_2,,SPK_TOLGA,,0,İkinci tavuk! Kadri görse çorba sanır.,Second hen! Kadri would think it's soup.,görev
D_CHICKEN_CATCH_3,,SPK_TOLGA,,0,Üçüncü! Ben bir tavuk fısıldayıcısıyım.,Third! I am a chicken whisperer.,görev
D_CHICKEN_CATCH_4,,SPK_TOLGA,,0,Tavuklar artık beni tanıyor. Ve hâlâ kaçıyor.,The hens know me now. And they still run.,görev
D_EV_COLUMN,,SPK_TOLGA,,0,(Sütuna dokunur) Dileğim: servis bu sefer beklesin. ...Bir de herkes sağ salim evine dönsün. İkisi de zor.,(Touches the column) My wish: this time the shuttle waits. ...And everyone gets home safe. Both are hard.,kod
D_GAL_NOTARY,,SPK_NOTARY,,0,Kuleye çıkmak için noter onayı gerekir! ...Tepeye kadar çıkmışsın. Onaylıyorum. Geriye dönük.,Climbing the tower requires a notary's approval! ...You've reached the top already. Approved. Retroactively.,kod
D_GAL_TOP,,SPK_TOLGA,,0,"Galata'nın tepesi! Bu kule 2026'da da burada. Fark şu: bilet yok, kuyruk yok, asansör de yok.","The top of Galata! This tower is still here in 2026. The difference: no ticket, no queue, no lift.",kod
HIKMET_ITEM_BACK,,SPK_HIKMET,,0,"Geri mi koydun? İyi düşün evlât, orada market yok.","Putting it back? Think it through, son. There are no shops there.",kod
HIKMET_ITEM_BOOK,,SPK_HIKMET,,0,"Aç bak, sayfa 88'de Fatih'e bıyık çizmişsin. Zaten bıyığı vardı. İkinci bir bıyık çizmişsin.",Look at page 88. You drew a moustache on the Sultan. He already had one. You gave him a spare.,eşya
HIKMET_ITEM_CHICKPEAS,,SPK_HIKMET,,0,"Onu yeme, o benim gece leblebim. ...Tamam al. Diplomasi için.","Don't touch those, that's my midnight snack. ...Fine. For diplomacy.",eşya
HIKMET_ITEM_COLOGNE,,SPK_HIKMET,,0,Limon kolonyası. Bizim milletin diplomatik dokunulmazlığı budur.,Lemon cologne. It's the closest thing we have to diplomatic immunity.,eşya
HIKMET_ITEM_CUBE,,SPK_HIKMET,,0,Onu 1987'den beri çözemedim. Belki geçmişte biri çözer.,Haven't solved it since 1987. Maybe someone in the past can.,eşya
HIKMET_ITEM_LIGHTER,,SPK_HIKMET,,0,Al onu. İnsanlık ateşi bulmak için binlerce yıl uğraştı. Sen hazırını götür.,Take it. Mankind spent millennia discovering fire. You just bring the finished product.,eşya
HIKMET_ITEM_PHONE,,SPK_HIKMET,,0,Yeter de artar evlât. Orada şarj aleti yok ama priz de yok. Adil yani.,"Plenty, son. No chargers there, but no sockets either. Fair's fair.",eşya
HIKMET_ITEM_POWERBANK,,SPK_HIKMET,,0,Onu ben şarj ettim. Kendi icadım olan şarj aletiyle. Sadece bir kere yandı.,I charged that myself. With a charger of my own design. It only caught fire the once.,eşya
HIKMET_ITEM_SELFIE,,SPK_HIKMET,,0,Tarihi yazanlarla fotoğraf çekil. Kimse inanmaz ama olsun.,"Take selfies with the history makers. Nobody'll believe you, but still.",eşya
HIKMET_ITEM_TAPE,,SPK_HIKMET,,0,Makinenin yüzde altmışı bundan. Kalanı umut.,Sixty percent of that machine is this. The rest is hope.,kod
HIKMET_ITEM_THERMOS,,SPK_HIKMET,,0,"Demlik çay, iki şeker. Orada çay yoksa bile senin var.","Proper brewed tea, two sugars. History might not have tea yet. You do.",eşya
ITEM_SELF_BOOK,,SPK_TOLGA,,0,Sayfa 88: 'Fatih'in bıyığı.' Üstüne ikinci bir bıyık çizmişim. Hikmet Amca haklı.,Page 88: 'The Conqueror's moustache.' I drew a second one on it. Uncle Hikmet's right.,eşya
ITEM_SELF_BOOK_2,,SPK_TOLGA,,0,Sayfa 112: 'Gemiler karadan yürütüldü.' Ben o gemilerden birinden düştüm. Kitapta yazmıyor.,Page 112: 'The ships were hauled overland.' I fell off one of them. The book doesn't mention that.,eşya
ITEM_SELF_BOOK_3,,SPK_TOLGA,,0,Sayfa 140: 'Tarihçiler hâlâ tartışıyor.' Tarihçiler hep tartışıyor.,Page 140: 'Historians still disagree.' Historians always disagree.,eşya
ITEM_SELF_CHICKPEAS,,SPK_TOLGA,,0,(Bir leblebi yer) Çıtır. ...Diplomasi için ayrılmıştı. Bir tane eksilse bir şey olmaz.,(Eats one leblebi) Crunchy. ...These were for diplomacy. One won't be missed.,eşya
ITEM_SELF_CHICKPEAS_2,,SPK_TOLGA,,0,(Bir tane daha) Diplomasi bekleyebilir.,(Another one) Diplomacy can wait.,eşya
ITEM_SELF_COLOGNE,,SPK_TOLGA,,0,(Kendi eline kolonya döker) Hijyen. 1453'te bu bir süper güç.,(Splashes cologne on his own hands) Hygiene. In 1453 it's a superpower.,eşya
ITEM_SELF_COLOGNE_2,,SPK_TOLGA,,0,Limon kokusu. Kuşatmanın ortasında bir otobüs molası.,Lemon scent. A coach-trip rest stop in the middle of a siege.,eşya
ITEM_SELF_CUBE,,SPK_TOLGA,,0,(Çevirir) Bir yüz tamam. Diğer beşi 1987'den beri bekliyor.,(Twists it) One face done. The other five have been waiting since 1987.,eşya
ITEM_SELF_CUBE_2,,SPK_TOLGA,,0,(Çevirir) Şimdi hiçbir yüz tamam değil. İlerleme.,(Twists it) Now no face is done. Progress.,eşya
ITEM_SELF_LIGHTER,,SPK_TOLGA,,0,"(Çakar) Ateş. İnsanlık binlerce yılda buldu, ben cebimde taşıyorum.",(Flicks it) Fire. Humanity took millennia to find it; I carry it in my pocket.,eşya
ITEM_SELF_LIGHTER_2,,SPK_TOLGA,,0,Tek seferde yandı. Urban görse ağlardı.,Lit first time. Urban would weep if he saw.,eşya
ITEM_SELF_PHONE,,SPK_TOLGA,,0,Şarj %1. Bir fotoğraf... Kapandı. Açıldı. Hâlâ %1. Bu telefon ölümsüz.,Battery 1%. One photo... It died. It's back. Still 1%. This phone is immortal.,eşya
ITEM_SELF_PHONE_2,,SPK_TOLGA,,0,Kapsama alanı yok. 1453'te kapsama alanı fikri bile yok.,No signal. In 1453 the idea of a signal doesn't exist.,eşya
ITEM_SELF_POWERBANK,,SPK_TOLGA,,0,"Powerbank %3. Telefon %1. Şarj ediyorum. ...Şimdi powerbank %2, telefon %1. Fizik bu.",Power bank 3%. Phone 1%. Charging. ...Now the power bank's at 2% and the phone's at 1%. That's physics.,eşya
ITEM_SELF_REMOTE,,SPK_TOLGA,,0,Telsiz-Kumanda. Kırmızı düğme için R'ye basılı tut. Diğer düğmeler TV'yi açıyor. 1453'te TV yok.,The Radio-Remote. Hold R for the red button. The other buttons turn on the TV. There's no TV in 1453.,kod
ITEM_SELF_SELFIE,,SPK_TOLGA,,0,Selfie! ...Arka planda bir kuşatma var. Filtre koymama gerek yok.,Selfie! ...There's a siege in the background. No filter needed.,eşya
ITEM_SELF_SELFIE_2,,SPK_TOLGA,,0,Bir tane daha. Fes yamuk çıkmış. Bir daha.,One more. The fez came out crooked. Again.,eşya
ITEM_SELF_TAPE,,SPK_TOLGA,,0,Bir şeyi bantlamak istiyorum. Her şeyi. Bu bir hastalık mı?,I want to tape something. Everything. Is this an illness?,eşya
ITEM_SELF_TAPE_2,,SPK_TOLGA,,0,Koli bandı sesi. Evim gibi.,The sound of duct tape. Smells like home.,eşya
ITEM_SELF_THERMOS,,SPK_TOLGA,,0,(Bir yudum çay) ...Beş yüz yıl önce bile güzel.,(A sip of tea) ...Still good five hundred years ago.,eşya
ITEM_SELF_THERMOS_2,,SPK_TOLGA,,0,İki şeker. Hikmet Amca unutmamış.,Two sugars. Uncle Hikmet didn't forget.,eşya
ITEM_SHOW_PERSON,,SPK_TOLGA,,0,"(Gösterir. Karşısındaki bakar, omuz silker.) Tamam. Herkes etkilenmek zorunda değil.","(Shows it. They look, and shrug.) Fine. Not everyone has to be impressed.",eşya
ITEM_SHOW_THING,,SPK_TOLGA,,0,(Eşyayı ona gösterir.) ...Cansız nesneler etkilenmedi.,(Shows the thing to it.) ...Inanimate objects are not impressed.,eşya
MG_CAUL_K_BAD,,SPK_KADRI,,0,"Soğanı kazana, sen kapıya. Çık.","The onion goes in the pot, you go out the door. Out.",kod
MG_CAUL_K_GREAT,,SPK_KADRI,,0,Bu... bu benim tarifim. Kim öğretti sana? Kimse mi? Yalan. Ama güzel yalan.,That... that's my recipe. Who taught you? Nobody? Liar. But a tasty liar.,kod
MG_CAUL_K_OK,,SPK_KADRI,,0,Yenir. Askerler yer. Askerler her şeyi yer.,It's edible. Soldiers will eat it. Soldiers eat anything.,kod
MG_HAG_T_LOSE,,SPK_TOLGA,,0,Pazarlıkta yenildim. 1453'te de 'son fiyat' diye bir şey varmış.,Lost the haggle. Turns out 'final price' existed in 1453 too.,kod
MG_HAG_T_WIN,,SPK_TOLGA,,0,Pazarlık kazandım. Sigortacılık boşuna değilmiş.,Won the haggle. Insurance work paid off after all.,kod
MG_MAN_E_LOSE,,SPK_EMPEROR,,0,[Yunanca] Taşlar sabırlıdır. Sen de sabırlı ol. Bir daha oynarız.,[Greek] The stones are patient. Be patient too. We'll play again.,kod
MG_MAN_E_WIN,,SPK_EMPEROR,,0,"[Yunanca] İyi oynadın, yabancı. Bir şehri de böyle kurtarmak mümkün olsaydı.","[Greek] Well played, stranger. If only a city could be saved the same way.",kod
NPC_CALLIGRAPHER_1,,SPK_CALLIGRAPHER,,0,"Selam, yabancı. Sultan'ın fermanlarını ben yazarım. Bir 'elif' için üç gün uğraşırım.","Greetings, stranger. I write the Sultan's decrees. I spend three days on a single 'alif'.",yan karakter
NPC_CALLIGRAPHER_2,,SPK_CALLIGRAPHER,,0,"İmzan nasıl? ...'T' ve bir çizgi mi? Bu imza değil, çamaşır ipi.","What's your signature? ...A 'T' and a line? That's not a signature, that's a washing line.",yan karakter
NPC_CALLIGRAPHER_3,,SPK_CALLIGRAPHER,,0,"Dur, adını yazayım. T-O-L-G-A. ...Güzel oldu. Kuşatma bitince çerçeveletirsin.","Wait, let me write your name. T-O-L-G-A. ...Lovely. Frame it after the siege.",yan karakter
NPC_CALLIGRAPHER_4,,SPK_CALLIGRAPHER,,0,"Al. Mürekkebi kurumadan katlama. Ve fese sürme, fes zaten kırmızı.","Here. Don't fold it before the ink dries. And don't wipe it on the fez, the fez is red enough.",yan karakter
NPC_KID_1,,SPK_KID,,0,Kedimi gördün mü? Adı Gato. Turuncu. Kulenin oralarda kayboldu.,Have you seen my cat? His name's Gato. Orange. He got lost up by the tower.,yan karakter
NPC_KID_2,,SPK_KID,,0,Kırmızı şapkan güzelmiş. Bana verir misin? ...Kedimi bulursan vazgeçerim.,I like your red hat. Can I have it? ...I'll let it go if you find my cat.,yan karakter
NPC_KID_3,,SPK_KID,,0,Gato balığı sever. Ve yükseği. Ve saklanmayı. Yani her şeyi sever.,"Gato likes fish. And high places. And hiding. So, everything.",yan karakter
NPC_KID_THANKS_1,,SPK_KID,[shouting],0,GATO! Buldun onu! Şapkanı istemiyorum artık. ...Belki biraz istiyorum.,GATO! You found him! I don't want your hat anymore. ...Maybe a little.,kod
NPC_KID_THANKS_2,,SPK_KID,,0,Gato sana teşekkür ediyor. Miyavlamıyor ama içinden ediyor.,"Gato says thank you. He's not meowing, but he means it.",yan karakter
NPC_PAINTER_1,,SPK_PAINTER,,0,"[Yunanca] Şşt. Kıpırdama. Kubbeyi çiziyorum, sen de kadraja girdin.","[Greek] Shh. Don't move. I'm painting the dome, and you walked into the frame.",yan karakter
NPC_PAINTER_2,,SPK_PAINTER,,0,"[Yunanca] Başındaki kırmızı şey... altın varakla mı boyasam, kırmızıyla mı? Altın. Her şey altın olur.",[Greek] That red thing on your head... gold leaf or red? Gold. Everything becomes gold.,yan karakter
NPC_PAINTER_3,,SPK_PAINTER,,0,[Yunanca] Beş yüz yıl sonra bu resme bakıp 'kim bu fesli adam' diyecekler. Sen olacaksın.,[Greek] Five hundred years from now they'll look at this and ask 'who's the man in the fez'. It'll be you.,yan karakter
NPC_PAINTER_4,,SPK_PAINTER,,0,"[Yunanca] İskeleye çıkacaksan, çatıdan bana el salla. Resme eklerim.","[Greek] If you're climbing the scaffold, wave at me from the roof. I'll add it to the painting.",yan karakter
QUEST_AYASOFYA_DONE,,SPK_TOLGA,,0,"Çatıdayım. Bu manzarayı kimse görmedi. Gördü de, fotoğrafı yok.","I'm on the roof. Nobody's seen this view. Well, they have, but there's no photo.",görev
QUEST_BIGBANG_DONE,,SPK_TOLGA,,0,Kulaklarım hâlâ çınlıyor. Keçi iyi mi? Keçi iyi.,My ears are still ringing. Is the goat okay? The goat's okay.,görev
QUEST_BOOK_DONE,,SPK_TOLGA,,0,Üç kişi kendini kitapta buldu. Hepsi 'yanlış yazmışlar' dedi.,Three people found themselves in the book. They all said 'they got it wrong'.,görev
QUEST_CALLIGRAPHY_DONE,,SPK_TOLGA,,0,Adım hat sanatıyla yazıldı. Kartvizitim bu olacak.,"My name, in calligraphy. This is my new business card.",görev
QUEST_CAT_DONE,,SPK_TOLGA,,0,Kedi evinde. Galata'da tek bir sorun çözüldü. Gerisi tarihçilere kalsın.,The cat's home. One problem solved in Galata. The rest is for the historians.,görev
QUEST_CHICKENS_DONE,,SPK_TOLGA,,0,"Üç tavuk, üç yakalama. Sinerji bunu duymasın.","Three hens, three catches. Don't let Synergy hear about this.",görev
QUEST_CHICKPEAS_DONE,,SPK_TOLGA,,0,Altı kişiye leblebi verdim. Savaş bitmedi ama herkes çıtır çıtır.,"Six people got chickpeas. The war isn't over, but everyone's crunchy.",görev
QUEST_COLOGNE_DONE,,SPK_TOLGA,,0,Yedi kişi limon kokuyor. Kuşatma artık bir otobüs molası.,Seven people smell of lemon. The siege is now a coach-trip rest stop.,görev
QUEST_COLUMN_DONE,,SPK_TOLGA,,0,Dilek tuttum. Sütun bir şey demedi. Sütunlar hiçbir şey demez.,Made a wish. The column said nothing. Columns never do.,görev
QUEST_CUBE_DONE,,SPK_TOLGA,,0,Biri küpü çözdü. 1987'den beri ilk kez. Hikmet Amca'ya söylemeyelim.,Someone solved the cube. First time since 1987. Let's not tell Uncle Hikmet.,görev
QUEST_DIVER_DONE,,SPK_TOLGA,,0,Batık bir kadırga gördüm. Kimseye söylemeyeceğim. Arkeologlar bulsun.,I saw a sunken galley. I won't tell anyone. Let the archaeologists find it.,görev
QUEST_ENGINEER_DONE,,SPK_TOLGA,,0,Bant tuttu. Hikmet Amca gurur duyardı. Duyuyordur.,The tape held. Uncle Hikmet would be proud. He is.,görev
QUEST_FRIENDS_DONE,,SPK_TOLGA,,0,İki orduda da arkadaşım var. Bu ya diplomasi ya da çok kötü bir fikir.,I have friends in both armies. That's either diplomacy or a very bad idea.,görev
QUEST_GALATA_DONE,,SPK_TOLGA,,0,Kuleye bilet almadan çıktım. 2026'da bunun kuyruğu iki saat.,Climbed the tower without a ticket. In 2026 that queue is two hours.,görev
QUEST_GOATHERD_DONE,,SPK_TOLGA,,0,Keçiyi yakaladım. Keçi beni yakaladı. Berabere.,I caught the goat. The goat caught me. Call it a draw.,görev
QUEST_KITCHEN_DONE,,SPK_TOLGA,,0,Leblebi tavandan yağdı. Kadri bana hâlâ bakmıyor.,Chickpeas rained from the ceiling. Kadri still won't look at me.,görev
QUEST_LIGHTER_DONE,,SPK_TOLGA,,0,Üç kişi çakmaktan korktu. Haklılar. Ben de korkuyorum.,Three people were scared of the lighter. They're right. So am I.,görev
QUEST_PHONE_DONE,,SPK_TOLGA,,0,Üç Bizanslı telefona baktı. Pil hâlâ yüzde bir. Bu telefon ölümsüz.,Three Byzantines looked at the phone. Still one percent. This phone is immortal.,görev
QUEST_POWERBANK_DONE,,SPK_TOLGA,,0,Enerjiden anlayan iki kişi powerbank'e baktı. İkisi de 'içinde ne var' dedi. Ben de bilmiyorum.,Two experts looked at the power bank. Both asked what's inside. I don't know either.,görev
QUEST_SELFIE_DONE,,SPK_TOLGA,,0,Beş selfie. Albüm tamam. Instagram yok ama olsun.,"Five selfies. The album's done. No Instagram, but still.",görev
QUEST_TAPE_DONE,,SPK_TOLGA,,0,Dört kişi koli bandını tanıdı. 1453 artık daha yapışkan.,Four people have met duct tape. 1453 is now a stickier place.,görev
QUEST_THERMOS_DONE,,SPK_TOLGA,,0,"Sultan da içti, İmparator da. Aynı termostan. Tarihçiler bunu asla bilmeyecek.","The Sultan drank, and so did the Emperor. From the same thermos. Historians will never know.",görev
REACT_AGA_BOOK,,SPK_AGA,,0,"""Bu kitapta bir devenin günde kaç okka su içtiği yazıyor mu? Yazmıyorsa işe yaramaz.""","""Does this book say how many measures of water a camel drinks a day? No? Useless.""",eşya
REACT_AGA_CHICKPEAS,,SPK_AGA,,0,"""Birinci soru: Bu ne? İkinci soru: Bir tane daha verir misin?""","""Question one: what is this? Question two: may I have another?""",eşya
REACT_AGA_COLOGNE,,SPK_AGA,,0,"""Kokulu adam. Soru: Neden kokulusun?""","""A fragrant man. Question: why are you fragrant?""",eşya
REACT_AGA_CUBE,,SPK_AGA,,0,"""Bulmaca mı bu? Burada bulmacayı ben sorarım. Kıskandım.""","""Is that a puzzle? I do the puzzles around here. I'm jealous.""",eşya
REACT_AGA_LIGHTER,,SPK_AGA,,0,"""Ateşi nereden aldın? Bu da bir soru. Cevap ver.""","""Where did you get fire? That's also a question. Answer it.""",eşya
REACT_AGA_PHONE,,SPK_AGA,,0,"""Bu kutu bana soru soruyormuş gibi bakıyor. Burada soruyu ben sorarım.""","""That box is looking at me like it wants to ask a question. I ask the questions here.""",eşya
REACT_AGA_POWERBANK,,SPK_AGA,,0,"""Kutsal taş mı? Kutsal taşı olana bir soru az sorulur. ...Yine de üç soru.""","""A holy stone? He who bears a holy stone is asked one question fewer. ...It's still three.""",eşya
REACT_AGA_SELFIE,,SPK_AGA,,0,"""Asa! Asası olan bilgedir. Bilgeye iki soru yeter.""","""A staff! A man with a staff is wise. Two questions will do for the wise.""",eşya
