anahtar,konusmaci
D10A_F_1,SPK_FATIH
D10A_F_2,SPK_FATIH
D10A_F_3,SPK_FATIH
D10A_F_REFUSE,SPK_FATIH
D10A_H_RADIO,SPK_HIKMET
D10A_N_01,SPK_NIHAT
D10A_N_03,SPK_NIHAT
D10A_N_FORM_1,SPK_NIHAT
D10A_N_FORM_2,SPK_NIHAT
D10A_N_FORM_3,SPK_NIHAT
D10A_N_FORM_6,SPK_NIHAT
D10A_N_MEET_1,SPK_NIHAT
D10A_N_MEET_4,SPK_NIHAT
D10A_N_MEET_5,SPK_NIHAT
D10A_N_OTAG_1,SPK_NIHAT
D10A_N_OTAG_2,SPK_NIHAT
D10A_N_REFUSE,SPK_NIHAT
D10A_N_SIGN,SPK_NIHAT
D10A_TH_01,SPK_THEODOROS
D10A_TH_03,SPK_THEODOROS
D10A_TH_05,SPK_THEODOROS
D10A_TH_DONE_CLEAN,SPK_THEODOROS
D10A_TH_FORM_5,SPK_THEODOROS
D10A_TH_MEET_2,SPK_THEODOROS
D10A_TH_PROGRESS,SPK_THEODOROS
D10A_T_02,SPK_TOLGA
D10A_T_04_CUBE,SPK_TOLGA
D10A_T_DONE,SPK_TOLGA
D10A_T_FORM_4,SPK_TOLGA
D10A_T_MEET_3,SPK_TOLGA
D10A_T_N_02,SPK_TOLGA
D10A_T_RADIO,SPK_TOLGA
D10A_T_REFUSE,SPK_TOLGA
D10A_T_SIGN,SPK_TOLGA
D10B_F_01,SPK_FATIH
D10B_F_02,SPK_FATIH
D10B_F_B1_1,SPK_FATIH
D10B_F_B1_2,SPK_FATIH
D10B_F_B1_3,SPK_FATIH
D10B_F_B2_1,SPK_FATIH
D10B_F_B2_2,SPK_FATIH
D10B_F_B3_1,SPK_FATIH
D10B_F_B3_2,SPK_FATIH
D10B_F_B3_2P,SPK_FATIH
D10B_F_B3_3,SPK_FATIH
D10B_F_B3_4,SPK_FATIH
D10B_F_B3_5,SPK_FATIH
D10B_F_TAPE,SPK_FATIH
D10B_H_B3_AIR,SPK_HIKMET
D10B_H_RADIO_1,SPK_HIKMET
D10B_H_RADIO_3,SPK_HIKMET
D10B_KADRI_B3,SPK_KADRI
D10B_RIDER,SPK_RIDER
D10B_T_02,SPK_TOLGA
D10B_T_ARRIVE,SPK_TOLGA
D10B_T_B1_1,SPK_TOLGA
D10B_T_B1_3,SPK_TOLGA
D10B_T_B1_4,SPK_TOLGA
D10B_T_B1_5,SPK_TOLGA
D10B_T_B2_1,SPK_TOLGA
D10B_T_B3_2,SPK_TOLGA
D10B_T_B3_3,SPK_TOLGA
D10B_T_B3_4,SPK_TOLGA
D10B_T_B3_5,SPK_TOLGA
D10B_T_B3_AIR,SPK_TOLGA
D10B_T_CALC_EYE,SPK_TOLGA
D10B_T_CALC_PHONE,SPK_TOLGA
D10B_T_POWDER_3,SPK_TOLGA
D10B_T_RADIO_1,SPK_TOLGA
D10B_T_RADIO_2,SPK_TOLGA
D10B_T_RADIO_3,SPK_TOLGA
D10B_T_RADIO_4,SPK_TOLGA
D10B_T_TAPE_Q,SPK_TOLGA
D10B_U_01,SPK_URBAN
D10B_U_03,SPK_URBAN
D10B_U_B1_2,SPK_URBAN
D10B_U_B2_2,SPK_URBAN
D10B_U_B2_3,SPK_URBAN
D10B_U_B3_1,SPK_URBAN
D10B_U_B3_4,SPK_URBAN
D10B_U_BOW,SPK_URBAN
D10B_U_CALC,SPK_URBAN
D10B_U_CALC_EYE,SPK_URBAN
D10B_U_CALC_OK,SPK_URBAN
D10B_U_CAST_BAD,SPK_URBAN
D10B_U_CAST_COLD,SPK_URBAN
D10B_U_CAST_GOOD,SPK_URBAN
D10B_U_CAST_INTRO,SPK_URBAN
D10B_U_CAST_OK,SPK_URBAN
D10B_U_CAST_OK2,SPK_URBAN
D10B_U_EARS,SPK_URBAN
D10B_U_FUSE,SPK_URBAN
D10B_U_FUSE_LIGHTER,SPK_URBAN
D10B_U_NAME,SPK_URBAN
D10B_U_NAME_2,SPK_URBAN
D10B_U_POWDER,SPK_URBAN
D10B_U_POWDER_1,SPK_URBAN
D10B_U_POWDER_2,SPK_URBAN
D10B_U_POWDER_3,SPK_URBAN
D10B_U_TAPED,SPK_URBAN
D10B_U_UNTAPED,SPK_URBAN
D10G_C_1,SPK_CAPTAIN
